pos;name;pais1;pais2;num;edad;team_name
Extremo izquierdo;Yan Diomande;Costa de Marfil;;49;14/11/2006;rasenballsport_leipzig
Extremo izquierdo;Antonio Nusa;Noruega;Nigeria;7;17/04/2005;rasenballsport_leipzig
Extremo izquierdo;Suleman Sani;Nigeria;;18;01/09/2006;rasenballsport_leipzig
Extremo izquierdo;Tidiam Gomis;Francia;Senegal;27;08/08/2006;rasenballsport_leipzig
Extremo izquierdo;Ayodele Thomas;Países Bajos;Nigeria;21;23/07/2007;rasenballsport_leipzig
Extremo derecho;Johan Bakayoko;Bélgica;Costa de Marfil;9;20/04/2003;rasenballsport_leipzig
Delantero centro;Rômulo;Brasil;;40;08/02/2002;rasenballsport_leipzig
Delantero centro;Conrad Harder;Dinamarca;;11;07/04/2005;rasenballsport_leipzig
Delantero centro;Samba Konaté;Francia;Senegal;45;27/02/2009;rasenballsport_leipzig
Portero;Mark Flekken;Países Bajos;;1;13/06/1993;bayer_04_leverkusen
Portero;Jonas Omlin;Suiza;;18;10/01/1994;bayer_04_leverkusen
Portero;Janis Blaswich;Alemania;;28;02/05/1991;bayer_04_leverkusen
Portero;Niklas Lomb;Alemania;;36;28/07/1993;bayer_04_leverkusen
Defensa central;Jarell Quansah;Inglaterra;Escocia;4;29/01/2003;bayer_04_leverkusen
Defensa central;Edmond Tapsoba;Burkina Faso;;12;02/02/1999;bayer_04_leverkusen
Defensa central;Loïc Badé;Francia;Costa de Marfil;5;11/04/2000;bayer_04_leverkusen
Defensa central;Axel Tape;Francia;Costa de Marfil;16;10/08/2007;bayer_04_leverkusen
Defensa central;Tim Oermann;Alemania;;15;06/10/2003;bayer_04_leverkusen
Defensa central;Issa Traoré;Malí;;41;14/11/2007;bayer_04_leverkusen
Lateral izquierdo;Alejandro Grimaldo;España;;20;20/09/1995;bayer_04_leverkusen
Lateral derecho;Arthur;Brasil;;13;17/03/2003;bayer_04_leverkusen
Lateral derecho;Lucas Vázquez;España;;21;01/07/1991;bayer_04_leverkusen
Pivote;Equi Fernández;Argentina;Paraguay;6;25/07/2002;bayer_04_leverkusen
Pivote;Robert Andrich;Alemania;;8;22/09/1994;bayer_04_leverkusen
Mediocentro;Exequiel Palacios;Argentina;;25;05/10/1998;bayer_04_leverkusen
Mediocentro;Aleix García;España;;24;28/06/1997;bayer_04_leverkusen
Mediocentro ofensivo;Ibrahim Maza;Argelia;Alemania;30;24/11/2005;bayer_04_leverkusen
Mediocentro ofensivo;Malik Tillman;Estados Unidos;Alemania;10;28/05/2002;bayer_04_leverkusen
Mediocentro ofensivo;Jonas Hofmann;Alemania;;7;14/07/1992;bayer_04_leverkusen
Extremo izquierdo;Eliesse Ben Seghir;Marruecos;Francia;17;16/02/2005;bayer_04_leverkusen
Extremo izquierdo;Martin Terrier;Francia;;11;04/03/1997;bayer_04_leverkusen
Extremo derecho;Ernest Poku;Países Bajos;Ghana;19;28/01/2004;bayer_04_leverkusen
Extremo derecho;Nathan Tella;Nigeria;Inglaterra;23;05/07/1999;bayer_04_leverkusen
Extremo derecho;Montrell Culbreath;Alemania;Estados Unidos;42;29/08/2007;bayer_04_leverkusen
Delantero centro;Christian Kofane;Camerún;;35;26/07/2006;bayer_04_leverkusen
Delantero centro;Patrik Schick;República Checa;;14;24/01/1996;bayer_04_leverkusen
Portero;Kauã Santos;Brasil;Portugal;40;11/04/2003;eintracht_frankfurt
Portero;Michael Zetterer;Alemania;;23;12/07/1995;eintracht_frankfurt
Portero;Jens Grahl;Alemania;;33;22/09/1988;eintracht_frankfurt
Portero;Amil Siljevic;Bosnia y Herzegovina;Alemania;39;19/01/2007;eintracht_frankfurt
Defensa central;Arthur Theate;Bélgica;;3;25/05/2000;eintracht_frankfurt
Defensa central;Nnamdi Collins;Alemania;Nigeria;34;10/01/2004;eintracht_frankfurt
Defensa central;Robin Koch;Alemania;;4;17/07/1996;eintracht_frankfurt
Defensa central;Aurèle Amenda;Suiza;Camerún;5;31/07/2003;eintracht_frankfurt
Lateral izquierdo;Nathaniel Brown;Alemania;Estados Unidos;21;16/06/2003;eintracht_frankfurt
Lateral izquierdo;Keita Kosugi;Japón;;26;18/03/2006;eintracht_frankfurt
Lateral derecho;Rasmus Kristensen;Dinamarca;;13;11/07/1997;eintracht_frankfurt
Lateral derecho;Elias Baum;Alemania;;2;26/10/2005;eintracht_frankfurt
Lateral derecho;Timothy Chandler;Estados Unidos;Alemania;22;29/03/1990;eintracht_frankfurt
Pivote;Ellyes Skhiri;Túnez;Francia;15;10/05/1995;eintracht_frankfurt
