pos;name;pais1;pais2;num;edad;team_name
Delantero centro;Franjo Ivanović;Croacia;;9;01/10/2003;benfica_lissabon
Delantero centro;Anísio Cabral;Portugal;Guinea-Bissau;72;15/02/2008;benfica_lissabon
Delantero centro;Henrique Araújo;Portugal;;39;19/01/2002;benfica_lissabon
Portero;Lukas Hornicek;República Checa;;1;13/07/2002;sc_braga
Portero;Alaa Bellaarouch;Marruecos;;36;01/02/2002;sc_braga
Portero;Tiago Sá;Portugal;;12;11/01/1995;sc_braga
Defensa central;Sikou Niakaté;Malí;Francia;4;10/07/1999;sc_braga
Defensa central;Bright Arrey-Mbi;Alemania;Inglaterra;26;26/03/2003;sc_braga
Defensa central;Gustaf Lagerbielke;Suecia;;14;10/04/2000;sc_braga
Defensa central;Adrian Leon Barisic;Bosnia y Herzegovina;Croacia;37;19/07/2001;sc_braga
Defensa central;Jonatás Noro;Portugal;;53;09/07/2005;sc_braga
Defensa central;Paulo Oliveira;Portugal;;15;08/01/1992;sc_braga
Lateral izquierdo;Leonardo Lelo;Portugal;;5;30/03/2000;sc_braga
Lateral derecho;Víctor Gómez;España;;2;01/04/2000;sc_braga
Pivote;Gabriel Moscardo;Brasil;;17;28/09/2005;sc_braga
Pivote;Demir Ege Tıknaz;Turquía;;34;17/08/2004;sc_braga
Pivote;Vítor Carvalho;Brasil;;6;27/05/1997;sc_braga
Pivote;Florian Grillitsch;Austria;;27;07/08/1995;sc_braga
Pivote;Yanis da Rocha;Portugal;Francia;41;10/05/2004;sc_braga
Mediocentro;Rodrigo Zalazar;Uruguay;España;10;12/08/1999;sc_braga
Mediocentro;Gorby;Francia;Haití;29;25/07/2002;sc_braga
Mediocentro;Diego Rodrigues;Portugal;Bélgica;50;24/05/2005;sc_braga
Mediocentro;João Moutinho;Portugal;;8;08/09/1986;sc_braga
Interior derecho;Mario Dorgeles;Costa de Marfil;;20;07/08/2004;sc_braga
Extremo izquierdo;Ricardo Horta;Portugal;;21;15/09/1994;sc_braga
Extremo izquierdo;Gabri Martínez;España;;77;22/01/2003;sc_braga
Extremo izquierdo;Sandro Vidigal;Portugal;;95;28/07/2007;sc_braga
Extremo derecho;João Aragão;Portugal;;72;24/03/2008;sc_braga
Delantero centro;Pau Víctor;España;;18;26/11/2001;sc_braga
Delantero centro;Fran Navarro;España;;39;03/02/1998;sc_braga
Delantero centro;Amine El Ouazzani;Marruecos;Francia;9;15/07/2001;sc_braga
Portero;Lazar Carević;Montenegro;;25;16/03/1999;fc_famalicao
Portero;Ivan Zlobin;Rusia;Portugal;1;07/03/1997;fc_famalicao
Defensa central;Justin de Haas;Países Bajos;;16;01/02/2000;fc_famalicao
Defensa central;Léo Realpe;Ecuador;;3;26/02/2001;fc_famalicao
Defensa central;Ibrahima Ba;Senegal;;55;26/05/2005;fc_famalicao
Defensa central;Renan Santana;Brasil;;13;13/03/2005;fc_famalicao
Defensa central;Vojin Serafimovic;Serbia;;30;14/10/2005;fc_famalicao
Lateral izquierdo;Pedro Bondo;Angola;;28;16/11/2004;fc_famalicao
Lateral izquierdo;Rafa Soares;Portugal;;5;09/05/1995;fc_famalicao
Lateral derecho;Rodrigo Pinheiro;Portugal;;17;28/08/2002;fc_famalicao
Lateral derecho;Garcia;Brasil;;2;04/01/2002;fc_famalicao
Pivote;Tom van de Looi;Países Bajos;;6;02/07/1999;fc_famalicao
Mediocentro;Mathias de Amorim;Portugal;Francia;14;10/12/2004;fc_famalicao
Mediocentro;Marcos Peña;España;;8;22/01/2005;fc_famalicao
Mediocentro;Otar Mamageishvili;Georgia;;15;15/01/2003;fc_famalicao
Mediocentro ofensivo;Gustavo Sá;Portugal;;20;11/11/2004;fc_famalicao
Extremo izquierdo;Sorriso;Brasil;;7;23/02/2001;fc_famalicao
Extremo izquierdo;Óscar Aranda;España;;11;29/04/2002;fc_famalicao
Extremo izquierdo;Antoine Joujou;Francia;Guadalupe;77;12/03/2003;fc_famalicao
Extremo izquierdo;Roméo Beney;Suiza;Brasil;18;19/01/2005;fc_famalicao
Extremo izquierdo;Rochinha;Portugal;;10;03/05/1995;fc_famalicao
Extremo derecho;Gil Dias;Portugal;;23;28/09/1996;fc_famalicao
Extremo derecho;Pedro Santos;Portugal;;80;10/02/2003;fc_famalicao
Delantero centro;Simon Elisor;Francia;Guadalupe;12;22/07/1999;fc_famalicao
Delantero centro;Umar Abubakar;Nigeria;;9;15/02/2006;fc_famalicao
Portero;Joel Robles;España;;1;17/06/1990;gd_estoril_praia
Portero;Martin Turk;Eslovenia;;16;21/08/2003;gd_estoril_praia
Portero;Diogo Dias;Portugal;;31;17/06/2003;gd_estoril_praia
Defensa central;Kévin Boma;Togo;Francia;44;20/11/2002;gd_estoril_praia
Defensa central;Felix Bacher;Austria;;25;25/10/2000;gd_estoril_praia
