pos;name;pais1;pais2;num;edad;team_name
Mediocentro;Amadou Keita;Guinea;Bélgica;18;28/10/2001;kas_eupen
Mediocentro;Mark Müller;Alemania;;27;01/08/2001;kas_eupen
Mediocentro;Kevin Möhwald;Alemania;;8;03/07/1993;kas_eupen
Mediocentro;Théo Maréchal;Bélgica;Países Bajos;47;18/01/2005;kas_eupen
Mediocentro ofensivo;Nathan Bitumazala;Francia;RD del Congo;10;10/12/2002;kas_eupen
Mediocentro ofensivo;Victor Tihon;Bélgica;;57;08/09/2006;kas_eupen
Extremo izquierdo;Isaac Nuhu;Ghana;Bélgica;7;30/09/2001;kas_eupen
Extremo derecho;Logan Delaurier-Chaubet;Francia;;22;22/04/2002;kas_eupen
Extremo derecho;Bertan Caliskan;Turquía;Bélgica;19;07/02/2005;kas_eupen
Extremo derecho;Jaden Malhage;Bélgica;;25;13/07/2005;kas_eupen
Delantero centro;Kikas;Portugal;;98;17/09/1998;kas_eupen
Delantero centro;Zakaria Atteri;Bélgica;Marruecos;20;11/02/2002;kas_eupen
Delantero centro;Daniel Kasper;Alemania;;9;23/06/2002;kas_eupen
Delantero centro;Matteo Filorizzo;Bélgica;;56;19/02/2006;kas_eupen
Portero;Bill Lathouwers;Bélgica;;1;18/09/1999;rwdm_brussels
Portero;Justin Bengui;Francia;Angola;23;09/07/2005;rwdm_brussels
Portero;Guillaume Hubert;Bélgica;;28;11/01/1994;rwdm_brussels
Portero;Mattéo Nkurunziza;Burundi;Bélgica;70;02/06/2004;rwdm_brussels
Defensa central;Manoël Verhaeghe;Bélgica;;47;25/03/2008;rwdm_brussels
Defensa central;Djovkar Doudaev;Bélgica;Rusia;4;10/11/2003;rwdm_brussels
Defensa central;Mats Lemmens;Bélgica;;83;10/03/2002;rwdm_brussels
Defensa central;Madiou Keita;Guinea;Francia;13;29/08/2004;rwdm_brussels
Lateral izquierdo;Yacine Chaib;Francia;Argelia;27;27/01/2005;rwdm_brussels
Lateral izquierdo;Noah Dodeigne;Bélgica;;31;21/01/2003;rwdm_brussels
Lateral izquierdo;Victor Barbosa;Nueva Zelanda;Brasil;55;28/03/2007;rwdm_brussels
Lateral derecho;Tibo Persyn;Bélgica;;99;13/03/2002;rwdm_brussels
Pivote;Ali Loune;Marruecos;Alemania;30;17/03/2002;rwdm_brussels
Pivote;Yacouba Barry;Francia;Senegal;-;25/11/2002;rwdm_brussels
Pivote;Oskar Szulc;Polonia;Bélgica;60;08/05/2007;rwdm_brussels
Mediocentro;Olivier Dumont;Bélgica;Países Bajos;14;06/03/2002;rwdm_brussels
Mediocentro ofensivo;Ilyes Ziani;Marruecos;Bélgica;11;20/06/2003;rwdm_brussels
Mediocentro ofensivo;Aïman Maurer;Marruecos;Francia;29;25/09/2004;rwdm_brussels
Mediocentro ofensivo;Jacob Montes;Nicaragua;Estados Unidos;8;20/10/1998;rwdm_brussels
Extremo izquierdo;Gaëtan Robail;Francia;;10;09/01/1994;rwdm_brussels
Extremo izquierdo;Pjotr Kestens;Bélgica;;26;26/10/2001;rwdm_brussels
Delantero centro;Usman Simbakoli;República Centroafricana;Francia;9;12/12/2001;rwdm_brussels
Delantero centro;Valentín Adamo;Uruguay;;17;04/05/2002;rwdm_brussels
Delantero centro;Kwasi Poku;Canadá;;20;06/02/2003;rwdm_brussels
Delantero centro;Francisco Montoro;Argentina;Italia;19;23/06/2004;rwdm_brussels
Portero;Vincent Müller;Alemania;;1;23/08/2000;aalborg_bk
Portero;Rody de Boer;Países Bajos;;22;22/08/1997;aalborg_bk
Portero;Bertil Grønkjær;Dinamarca;;40;24/07/2007;aalborg_bk
Defensa central;Elison Makolli;Suecia;Kosovo;33;10/01/2005;aalborg_bk
Defensa central;Nóel Atli Arnórsson;Islandia;;24;30/09/2006;aalborg_bk
Defensa central;Benjamin Tiedemann;Dinamarca;;4;07/02/1994;aalborg_bk
Defensa central;Bjarne Pudel;Alemania;;13;09/05/2001;aalborg_bk
Defensa central;Cornelius Olsson;Dinamarca;;15;27/02/2006;aalborg_bk
Lateral izquierdo;Marc Nielsen;Dinamarca;;5;16/05/2001;aalborg_bk
Lateral izquierdo;Eugene Amankwah;Ghana;;35;30/11/2004;aalborg_bk
Lateral derecho;Mikkel Kallesøe;Dinamarca;;2;20/04/1997;aalborg_bk
Lateral derecho;Adam Andersson;Suecia;;3;11/11/1996;aalborg_bk
Lateral derecho;Christian Tcacenco;Moldavia;Dinamarca;32;16/05/2007;aalborg_bk
Pivote;Marcus Bonde;Dinamarca;;26;11/02/2007;aalborg_bk
Mediocentro;Markus Kaasa;Noruega;;23;15/07/1997;aalborg_bk
Mediocentro;Alexander Håpnes;Noruega;;8;26/08/2001;aalborg_bk
Mediocentro;Andreas Maarup;Dinamarca;;18;23/05/1999;aalborg_bk
