pos;name;pais1;pais2;num;edad;team_name
Extremo derecho;Mayckel Lahdo;Suecia;;23;30/12/2002;brondby_if
Extremo derecho;Ousmane Sow;Francia;Senegal;22;05/07/2000;brondby_if
Extremo derecho;Sho Fukuda;Japón;;19;23/03/2001;brondby_if
Delantero centro;Filip Bundgaard;Dinamarca;;11;03/07/2004;brondby_if
Delantero centro;Emmanuel Dennis;Nigeria;;17;15/11/1997;brondby_if
Delantero centro;Jacob Ambæk;Dinamarca;;38;28/03/2008;brondby_if
Portero;Andreas Hansen;Dinamarca;;13;11/08/1995;fc_nordsjaelland
Portero;Jakob Busk;Dinamarca;;16;12/09/1993;fc_nordsjaelland
Portero;Andreas Gülstorff;Dinamarca;;22;26/01/2003;fc_nordsjaelland
Defensa central;Noah Markmann;Dinamarca;;45;24/02/2007;fc_nordsjaelland
Defensa central;Tobias Salquist;Dinamarca;;3;18/05/1995;fc_nordsjaelland
Defensa central;Stephen Acquah;Ghana;;34;01/05/2006;fc_nordsjaelland
Defensa central;Markus Walker;Dinamarca;Australia;28;23/11/2006;fc_nordsjaelland
Lateral izquierdo;Juho Lähteenmäki;Finlandia;;25;15/06/2006;fc_nordsjaelland
Lateral izquierdo;Runar Norheim;Noruega;;23;14/02/2005;fc_nordsjaelland
Lateral derecho;Peter Ankersen;Dinamarca;;2;22/09/1990;fc_nordsjaelland
Lateral derecho;Victor Gustafsen;Dinamarca;;32;14/11/2007;fc_nordsjaelland
Pivote;Mark Brink;Dinamarca;;6;15/03/1998;fc_nordsjaelland
Pivote;Justin Janssen;Dinamarca;Países Bajos;18;25/07/2006;fc_nordsjaelland
Pivote;Malte Heyde;Dinamarca;;47;18/02/2007;fc_nordsjaelland
Mediocentro;Caleb Yirenkyi;Ghana;;36;15/01/2006;fc_nordsjaelland
Mediocentro;Nicklas Røjkjær;Dinamarca;;8;24/07/1998;fc_nordsjaelland
Mediocentro;Diallo Sanoussi;Costa de Marfil;;27;29/05/2006;fc_nordsjaelland
Mediocentro;Lamine Sadio;Senegal;;37;24/12/2007;fc_nordsjaelland
Extremo izquierdo;Prince Amoako Junior;Ghana;;10;19/02/2007;fc_nordsjaelland
Extremo izquierdo;Ibrahim Adel;Egipto;;14;23/04/2001;fc_nordsjaelland
Extremo izquierdo;Daniel Jóhannesson;Islandia;;39;03/04/2007;fc_nordsjaelland
Extremo derecho;Ola Solbakken;Noruega;;9;07/09/1998;fc_nordsjaelland
Extremo derecho;Araphat Mohammed;Ghana;;20;06/11/2005;fc_nordsjaelland
Extremo derecho;Hjalte Boe Rasmussen;Dinamarca;;40;15/10/2007;fc_nordsjaelland
Delantero centro;Alexander Lind;Dinamarca;;11;26/06/2002;fc_nordsjaelland
Delantero centro;Villum Berthelsen;Dinamarca;;29;14/04/2006;fc_nordsjaelland
Delantero centro;Levy Nene;Costa de Marfil;Malí;17;17/03/2006;fc_nordsjaelland
Delantero centro;Souleymane Alio;Burkina Faso;Malí;33;28/10/2006;fc_nordsjaelland
Portero;Mads Hedenstad;Noruega;;21;21/10/2000;aarhus_gf
Portero;Jesper Hansen;Dinamarca;;1;31/03/1985;aarhus_gf
Defensa central;Eric Kahl;Suecia;Tailandia;19;27/09/2001;aarhus_gf
Defensa central;Jonas Jensen-Abbew;Dinamarca;Ghana;40;20/04/2002;aarhus_gf
Defensa central;Tobias Mölgaard;Dinamarca;;14;22/07/1996;aarhus_gf
Defensa central;Frederik Tingager;Dinamarca;;5;22/02/1993;aarhus_gf
Defensa central;Henrik Dalsgaard;Dinamarca;;3;27/07/1989;aarhus_gf
Mediocentro;Magnus Knudsen;Noruega;;4;15/06/2001;aarhus_gf
Mediocentro;Markus Solbakken;Noruega;;7;25/07/2000;aarhus_gf
Mediocentro;Kevin Yakob;Irak;Suecia;17;10/10/2000;aarhus_gf
Mediocentro;Nicolai Poulsen;Dinamarca;;6;15/08/1993;aarhus_gf
Interior derecho;Felix Beijmo;Suecia;;2;31/01/1998;aarhus_gf
Interior derecho;Rasmus Carstensen;Dinamarca;;29;10/11/2000;aarhus_gf
Interior derecho;Jacob Andersen;Dinamarca;;26;26/01/2004;aarhus_gf
Interior izquierdo;Gift Links;Sudáfrica;;11;02/10/1998;aarhus_gf
Extremo izquierdo;Kristian Arnstad;Noruega;;10;07/09/2003;aarhus_gf
Extremo izquierdo;Frederik Emmery;Dinamarca;;39;25/12/2006;aarhus_gf
Extremo izquierdo;Tómas Óli Kristjánsson;Islandia;;20;27/02/2008;aarhus_gf
Extremo derecho;Tobias Bech;Dinamarca;;31;19/02/2002;aarhus_gf
Extremo derecho;Sebastian Jørgensen;Dinamarca;;8;08/06/2000;aarhus_gf
Delantero centro;Janni Serra;Alemania;;13;13/03/1998;aarhus_gf
Delantero centro;Patrick Mortensen;Dinamarca;;9;13/07/1989;aarhus_gf
Delantero centro;Stefen Tchamche;Dinamarca;;27;08/01/2006;aarhus_gf
Portero;Lucas Lund;Dinamarca;;1;19/03/2000;viborg_ff
Portero;Filip Djukic;Montenegro;Dinamarca;16;06/08/1999;viborg_ff
Defensa central;Daniel Anyembe;Kenia;Dinamarca;24;22/07/1998;viborg_ff
Defensa central;Stipe Radic;Croacia;;55;10/06/2000;viborg_ff
Defensa central;Zan Zaletel;Eslovenia;;5;16/09/1999;viborg_ff
Defensa central;Lukas Kirkegaard;Dinamarca;;32;31/08/2005;viborg_ff
Lateral izquierdo;Srdjan Kuzmic;Eslovenia;;30;16/01/2004;viborg_ff
Lateral izquierdo;Oliver Bundgaard;Dinamarca;;23;15/06/2001;viborg_ff
Lateral derecho;Jean Manuel Mbom;Alemania;Camerún;18;24/02/2000;viborg_ff
Lateral derecho;Hjalte Bidstrup;Dinamarca;;26;15/02/2006;viborg_ff
Lateral derecho;Mikkel Løndal;Dinamarca;;31;31/05/2006;viborg_ff
Pivote;Mees Hoedemakers;Países Bajos;;4;18/02/1998;viborg_ff
Pivote;Jeppe Grønning;Dinamarca;;13;24/05/1991;viborg_ff
Mediocentro;Thomas Jørgensen;Dinamarca;;10;30/09/2005;viborg_ff
Mediocentro;Mads Søndergaard;Dinamarca;;6;26/12/2002;viborg_ff
Mediocentro;Asker Beck;Dinamarca;;8;07/07/2003;viborg_ff
Mediocentro;Frederik Damkjer;Dinamarca;;33;31/07/2007;viborg_ff
Extremo izquierdo;Charly Nouck;Dinamarca;Camerún;11;21/03/2004;viborg_ff
Extremo izquierdo;Sami Jalal;Dinamarca;Túnez;29;08/08/2004;viborg_ff
Extremo izquierdo;Ísak Andri Sigurgeirsson;Islandia;;14;11/09/2003;viborg_ff
Extremo izquierdo;Yonis Njoh;Francia;Camerún;7;17/01/2004;viborg_ff
Extremo izquierdo;Osman Addo;Dinamarca;;17;31/03/2004;viborg_ff
Extremo derecho;Bilal Brahimi;Francia;Marruecos;21;28/03/2000;viborg_ff
Delantero centro;Tim Freriks;Países Bajos;;9;02/10/1998;viborg_ff
Delantero centro;Dorian Hanza;Guinea Ecuatorial;España;19;12/05/2001;viborg_ff
Portero;Aske Andrésen;Dinamarca;;30;12/07/2005;silkeborg_if
Portero;Nicolai Larsen;Dinamarca;;1;09/03/1991;silkeborg_if
Portero;Bastian Holm;Dinamarca;;16;13/02/2004;silkeborg_if
Defensa central;Robin Østrøm;Noruega;Dinamarca;3;09/08/2002;silkeborg_if
Defensa central;Pedro Ganchas;Portugal;;4;31/05/2000;silkeborg_if
Defensa central;Alexander Busch;Dinamarca;;40;25/07/2003;silkeborg_if
Defensa central;Pontus Rödin;Suecia;;25;16/08/2000;silkeborg_if
Defensa central;Melker Jonsson;Suecia;;15;10/07/2002;silkeborg_if
Defensa central;Alexander Priesborg;Dinamarca;;24;14/05/2005;silkeborg_if
Lateral izquierdo;Andreas Poulsen;Dinamarca;;2;13/10/1999;silkeborg_if
Lateral derecho;Jens Martin Gammelby;Dinamarca;;19;05/02/1995;silkeborg_if
Lateral derecho;Simon Stüker;Dinamarca;;28;23/04/2007;silkeborg_if
Pivote;Mikkel Øxenberg;Dinamarca;;26;25/01/2007;silkeborg_if
Mediocentro;Mads Larsen;Dinamarca;;20;20/09/2001;silkeborg_if
Mediocentro;Mads Freundlich;Dinamarca;;33;25/03/2003;silkeborg_if
Mediocentro;Julius Lorents;Dinamarca;;36;26/04/2006;silkeborg_if
Mediocentro;Villads Westh;Dinamarca;;7;25/04/2004;silkeborg_if
Mediocentro;Adam Wikman;Suecia;;6;15/12/2003;silkeborg_if
Mediocentro;Sofus Berger;Dinamarca;;14;02/06/2003;silkeborg_if
Mediocentro ofensivo;Callum McCowatt;Nueva Zelanda;;17;30/04/1999;silkeborg_if
Mediocentro ofensivo;Younes Bakiz;Dinamarca;Marruecos;10;05/02/1999;silkeborg_if
Mediocentro ofensivo;Rami Al Hajj;Suecia;Líbano;22;17/09/2001;silkeborg_if
Mediocentro ofensivo;Jeppe Andersen;Dinamarca;;8;06/12/1992;silkeborg_if
Mediocentro ofensivo;William Kirk;Dinamarca;;27;13/01/2007;silkeborg_if
Extremo izquierdo;Oliver Ross;Dinamarca;;11;10/10/2004;silkeborg_if
Delantero centro;Tonni Adamsen;Dinamarca;;23;15/11/1994;silkeborg_if
Delantero centro;Alexander Simmelhack;Dinamarca;;9;11/11/2005;silkeborg_if
Portero;Theo Sander;Dinamarca;Francia;30;08/01/2005;odense_boldklub
Portero;Viljar Myhra;Noruega;;16;21/07/1996;odense_boldklub
Portero;Martin Hansen;Dinamarca;;1;15/06/1990;odense_boldklub
Portero;Marcus Eskildsen;Dinamarca;;27;03/12/2007;odense_boldklub
Defensa central;James Gomez;Gambia;;29;14/11/2001;odense_boldklub
Defensa central;Julius Askou;Dinamarca;;13;27/05/2006;odense_boldklub
Defensa central;Yaya Bojang;Gambia;;24;10/09/2004;odense_boldklub
Defensa central;Nicolas Bürgy;Suiza;;5;07/08/1995;odense_boldklub
Defensa central;Bjørn Paulsen;Dinamarca;;4;02/07/1991;odense_boldklub
Lateral izquierdo;Adam Sørensen;Dinamarca;;3;11/11/2000;odense_boldklub
Lateral izquierdo;Marcus McCoy;Dinamarca;Estados Unidos;15;24/08/2005;odense_boldklub
Lateral derecho;Leeroy Owusu;Ghana;Países Bajos;20;13/08/1996;odense_boldklub
Lateral derecho;Magnus Andersen;Dinamarca;;28;03/04/2006;odense_boldklub
Pivote;Ismahila Ouédraogo;Burkina Faso;;22;05/11/1999;odense_boldklub
Pivote;Tom Trybull;Alemania;;19;09/03/1993;odense_boldklub
Pivote;Vitus Friis;Dinamarca;;21;31/03/2007;odense_boldklub
Mediocentro;Max Ejdum;Dinamarca;;18;15/10/2004;odense_boldklub
Mediocentro;Anssi Suhonen;Finlandia;;10;14/01/2001;odense_boldklub
Mediocentro;Gustav Grubbe;Dinamarca;;14;27/01/2003;odense_boldklub
Mediocentro;Rasmus Falk;Dinamarca;;8;15/01/1992;odense_boldklub
Mediocentro;Jakob Bonde;Dinamarca;;6;29/12/1993;odense_boldklub
Mediocentro ofensivo;Fiete Arp;Alemania;;7;06/01/2000;odense_boldklub
Extremo izquierdo;William Martin;Dinamarca;Irlanda;23;23/04/2007;odense_boldklub
Extremo izquierdo;Mads Abrahamsen;Dinamarca;;25;13/01/2007;odense_boldklub
Delantero centro;Noah Ganaus;Alemania;;17;19/01/2001;odense_boldklub
Delantero centro;Jay-Roy Grot;Surinam;Países Bajos;31;13/03/1998;odense_boldklub
Delantero centro;Jona Niemiec;Alemania;Polonia;11;19/09/2001;odense_boldklub
Delantero centro;Lasse Legolas;Dinamarca;;26;08/02/2007;odense_boldklub
Portero;Paul Izzo;Australia;Italia;1;06/01/1995;randers_fc
Portero;Jannich Storch;Dinamarca;;32;12/05/1993;randers_fc
Portero;Mert Demirci;Países Bajos;España;22;23/10/2003;randers_fc
Defensa central;Wessel Dammers;Países Bajos;;4;01/03/1995;randers_fc
Defensa central;Lucas Lissens;Bélgica;;2;25/07/2001;randers_fc
Defensa central;Oliver Jones;Australia;;5;06/02/2003;randers_fc
Defensa central;Daniel Høegh;Dinamarca;;3;06/01/1991;randers_fc
Lateral izquierdo;Nikolas Dyhr;Dinamarca;;44;18/06/2001;randers_fc
Lateral izquierdo;Martin Sjølstad;Noruega;;15;09/07/2000;randers_fc
Lateral derecho;Sabil Hansen;Dinamarca;;24;04/11/2005;randers_fc
Lateral derecho;Benjamin Örn;Suecia;;23;26/04/2004;randers_fc
Pivote;André Römer;Dinamarca;;28;18/07/1993;randers_fc
Mediocentro;John Björkengren;Suecia;;6;09/12/1998;randers_fc
Mediocentro;Laurits Pedersen;Dinamarca;;8;25/01/2006;randers_fc
Mediocentro;Frederik Lauenborg;Dinamarca;;14;18/05/1997;randers_fc
Mediocentro;Ousseynou Fall Seck;Senegal;;25;22/06/2007;randers_fc
Mediocentro;Max Albæk;Dinamarca;;38;19/02/2006;randers_fc
Mediocentro ofensivo;Mike Themsen;Dinamarca;;7;01/03/2006;randers_fc
Extremo izquierdo;Ernest Agyiri;Ghana;;21;06/03/1998;randers_fc
Extremo izquierdo;Cyril Edudzi;Ghana;;33;15/01/2006;randers_fc
Extremo derecho;Mathias Greve;Dinamarca;;17;11/02/1995;randers_fc
Extremo derecho;Elies Mahmoud;Francia;Argelia;11;10/02/2001;randers_fc
Delantero centro;Thibault Klidjé;Togo;;30;10/07/2001;randers_fc
Delantero centro;Warren Caddy;Madagascar;Francia;10;09/04/1997;randers_fc
Delantero centro;Amin Al-Hamawi;Irak;Suecia;9;17/12/2003;randers_fc
Delantero centro;Musa Touré;Australia;Liberia;19;12/11/2005;randers_fc
Portero;Igor Vekic;Eslovenia;;1;06/05/1998;vejle_boldklub
Portero;Tobias Haahr;Dinamarca;;24;03/07/2003;vejle_boldklub
Portero;Gustav Knudsen;Dinamarca;;33;10/07/2006;vejle_boldklub
Defensa central;Valdemar Lund;Dinamarca;;5;28/05/2003;vejle_boldklub
