pos;name;pais1;pais2;num;edad;team_name
Pivote;Kartal Yılmaz;Turquía;;17;04/11/2000;besiktas_istanbul
Pivote;Necip Uysal;Turquía;;20;24/01/1991;besiktas_istanbul
Mediocentro;Orkun Kökçü;Turquía;Países Bajos;10;29/12/2000;besiktas_istanbul
Mediocentro;Salih Uçan;Turquía;;8;06/01/1994;besiktas_istanbul
Mediocentro ofensivo;Junior Olaitan;Benín;Nigeria;15;09/05/2002;besiktas_istanbul
Extremo izquierdo;El Bilal Touré;Malí;Costa de Marfil;19;03/10/2001;besiktas_istanbul
Extremo izquierdo;Jota Silva;Portugal;;26;01/08/1999;besiktas_istanbul
Extremo izquierdo;Devrim Şahin;Turquía;;52;01/04/2007;besiktas_istanbul
Extremo derecho;Vaclav Cerny;República Checa;;18;17/10/1997;besiktas_istanbul
Extremo derecho;Cengiz Ünder;Turquía;;11;14/07/1997;besiktas_istanbul
Extremo derecho;Milot Rashica;Kosovo;Albania;7;28/06/1996;besiktas_istanbul
Delantero centro;Hyeon-gyu Oh;Corea del Sur;;9;12/04/2001;besiktas_istanbul
Delantero centro;Mustafa Hekimoğlu;Turquía;;91;22/04/2007;besiktas_istanbul
Portero;André Onana;Camerún;;24;02/04/1996;trabzonspor
Portero;Onuralp Çevikkan;Turquía;;25;02/01/2006;trabzonspor
Portero;Ahmet Yıldırım;Turquía;;88;01/11/2006;trabzonspor
Portero;Erol Can Çolak;Turquía;;96;02/01/2006;trabzonspor
Defensa central;Arseniy Batagov;Ucrania;;44;05/03/2002;trabzonspor
Defensa central;Chibuike Nwaiwu;Nigeria;;27;23/07/2003;trabzonspor
Defensa central;Stefan Savic;Montenegro;Serbia;15;08/01/1991;trabzonspor
Defensa central;Arda Öztürk;Turquía;;21;10/03/2007;trabzonspor
Defensa central;Taha Emre İnce;Turquía;;92;26/07/2007;trabzonspor
Lateral izquierdo;Mathias Løvik;Noruega;;14;06/12/2003;trabzonspor
Lateral izquierdo;Mustafa Eskihellaç;Turquía;;19;05/05/1997;trabzonspor
Lateral derecho;Wagner Pina;Cabo Verde;Portugal;20;03/11/2002;trabzonspor
Pivote;Okay Yokuşlu;Turquía;;5;09/03/1994;trabzonspor
Pivote;Salih Malkoçoğlu;Turquía;;74;23/02/2005;trabzonspor
Mediocentro;Christ Inao Oulaï;Costa de Marfil;;42;06/04/2006;trabzonspor
Mediocentro;Tim Jabol-Folcarelli;Francia;Martinica;26;06/12/1999;trabzonspor
Mediocentro;Benjamin Bouchouari;Marruecos;Bélgica;8;13/11/2001;trabzonspor
Mediocentro;Ozan Tufan;Turquía;;11;23/03/1995;trabzonspor
Mediocentro;Boran Başkan;Turquía;;80;29/03/2006;trabzonspor
Mediocentro ofensivo;Ernest Muci;Albania;;10;19/03/2001;trabzonspor
Extremo izquierdo;Anthony Nwakaeme;Nigeria;;9;21/03/1989;trabzonspor
Extremo derecho;Oleksandr Zubkov;Ucrania;;22;03/08/1996;trabzonspor
Extremo derecho;Edin Visca;Bosnia y Herzegovina;;7;17/02/1990;trabzonspor
Extremo derecho;Onuralp Çakıroğlu;Turquía;;17;05/12/2007;trabzonspor
Delantero centro;Felipe Augusto;Brasil;;99;18/02/2004;trabzonspor
Delantero centro;Paul Onuachu;Nigeria;;30;28/05/1994;trabzonspor
Delantero centro;Umut Nayir;Turquía;;18;28/06/1993;trabzonspor
Portero;Muhammed Şengezer;Turquía;;16;05/01/1997;istanbul_basaksehir_fk
Portero;Doğan Alemdar;Turquía;;80;29/10/2002;istanbul_basaksehir_fk
Portero;Volkan Babacan;Turquía;;1;11/08/1988;istanbul_basaksehir_fk
Portero;Luca Stancic;Turquía;Alemania;78;20/01/2007;istanbul_basaksehir_fk
Defensa central;Jerome Opoku;Ghana;Inglaterra;3;14/10/1998;istanbul_basaksehir_fk
Defensa central;Léo Duarte;Brasil;;5;17/07/1996;istanbul_basaksehir_fk
Defensa central;Hamza Güreler;Turquía;;15;10/04/2006;istanbul_basaksehir_fk
Defensa central;Ousseynou Ba;Senegal;;27;11/11/1995;istanbul_basaksehir_fk
Lateral izquierdo;Christopher Operi;Costa de Marfil;Francia;21;29/04/1997;istanbul_basaksehir_fk
Lateral izquierdo;Kazımcan Karataş;Turquía;;88;16/01/2003;istanbul_basaksehir_fk
Lateral derecho;Festy Ebosele;Irlanda;Nigeria;36;02/08/2002;istanbul_basaksehir_fk
Lateral derecho;Onur Bulut;Turquía;Alemania;6;16/04/1994;istanbul_basaksehir_fk
Lateral derecho;Ömer Ali Şahiner;Turquía;;42;02/01/1992;istanbul_basaksehir_fk
Pivote;Jakub Kaluzinski;Polonia;;18;31/10/2002;istanbul_basaksehir_fk
Pivote;Berat Özdemir;Turquía;;2;23/05/1998;istanbul_basaksehir_fk
Pivote;Onur Ergün;Turquía;;4;15/11/1992;istanbul_basaksehir_fk
Mediocentro;Olivier Kemen;Camerún;Francia;8;20/07/1996;istanbul_basaksehir_fk
Mediocentro;Miguel Crespo;Portugal;Francia;13;11/09/1996;istanbul_basaksehir_fk
Mediocentro;Umut Güneş;Turquía;Alemania;20;16/03/2000;istanbul_basaksehir_fk
Extremo izquierdo;Amine Harit;Marruecos;Francia;25;18/06/1997;istanbul_basaksehir_fk
Extremo izquierdo;Ivan Brnic;Croacia;;77;23/08/2001;istanbul_basaksehir_fk
Extremo izquierdo;Berkay Aslan;Turquía;Alemania;45;05/01/2007;istanbul_basaksehir_fk
Extremo derecho;Abbosbek Fayzullaev;Uzbekistán;;11;03/10/2003;istanbul_basaksehir_fk
Extremo derecho;Yusuf Sarı;Turquía;Francia;7;20/11/1998;istanbul_basaksehir_fk
Delantero centro;Eldor Shomurodov;Uzbekistán;;14;29/06/1995;istanbul_basaksehir_fk
Delantero centro;Bertuğ Yıldırım;Turquía;;91;12/07/2002;istanbul_basaksehir_fk
Delantero centro;Davie Selke;Alemania;;9;20/01/1995;istanbul_basaksehir_fk
Delantero centro;Nuno Da Costa;Cabo Verde;Francia;10;10/02/1991;istanbul_basaksehir_fk
Portero;Mateusz Lis;Polonia;;1;27/02/1997;goztepe
Portero;Ekrem Kılıçarslan;Turquía;;17;22/08/1997;goztepe
Portero;Şamil Öztürk;Turquía;;33;09/05/2005;goztepe
Portero;Nevzat Üzel;Turquía;;21;07/03/2007;goztepe
Defensa central;Taha Altıkardeş;Turquía;;4;22/08/2003;goztepe
Defensa central;Malcom Bokele;Camerún;Francia;26;12/02/2000;goztepe
Defensa central;Furkan Bayır;Turquía;;23;09/02/2000;goztepe
Defensa central;Héliton;Brasil;;5;13/11/1995;goztepe
Defensa central;Allan Godói;Brasil;;3;04/04/1993;goztepe
Defensa central;Ege Yıldırım;Turquía;;45;18/04/2007;goztepe
Lateral derecho;Erkam Kömür;Turquía;;-;15/07/2002;goztepe
Pivote;Anthony Dennis;Nigeria;;30;21/06/2004;goztepe
Pivote;Novatus Miroshi;Tanzania;;20;02/09/2002;goztepe
Pivote;Musah Mohammed;Ghana;;6;05/01/2002;goztepe
Mediocentro;Furkan Malak;Turquía;;-;14/01/2005;goztepe
Interior derecho;Arda Okan Kurtulan;Turquía;Albania;2;19/11/2002;goztepe
Interior derecho;Ogün Bayrak;Turquía;;77;10/10/1998;goztepe
Interior derecho;Uğur Kaan Yıldız;Turquía;;22;06/08/2002;goztepe
Interior izquierdo;Amin Cherni;Túnez;Francia;15;07/07/2001;goztepe
Interior izquierdo;İsmail Köybaşı;Turquía;;12;10/07/1989;goztepe
Mediocentro ofensivo;Filip Krastev;Bulgaria;;10;15/10/2001;goztepe
Mediocentro ofensivo;Alexis Antunes;Suiza;;8;31/07/2000;goztepe
Mediocentro ofensivo;Efkan Bekiroğlu;Turquía;Alemania;11;14/09/1995;goztepe
Delantero centro;Juan;Brasil;;9;07/03/2002;goztepe
Delantero centro;Janderson;Brasil;;39;06/05/1999;goztepe
Delantero centro;Guilherme Luiz;Brasil;;14;25/04/2005;goztepe
Delantero centro;Jeh;Brasil;;19;24/10/1999;goztepe
Portero;Okan Kocuk;Turquía;;1;27/07/1995;samsunspor
Portero;İrfan Can Eğribayat;Turquía;;71;30/06/1998;samsunspor
Portero;Efe Yiğit Üstün;Turquía;;33;07/05/2008;samsunspor
Portero;Efe Berat Törüz;Turquía;;48;08/09/2006;samsunspor
Defensa central;Rick van Drongelen;Países Bajos;;4;20/12/1998;samsunspor
Defensa central;Toni Borevković;Croacia;;24;18/06/1997;samsunspor
Defensa central;Lubomir Satka;Eslovaquia;;37;02/12/1995;samsunspor
