pos;name;pais1;pais2;num;edad;team_name
Delantero centro;Amine Gouiri;Argelia;Francia;9;16/02/2000;olympique_marseille
Delantero centro;Pierre-Emerick Aubameyang;Gabón;Francia;17;18/06/1989;olympique_marseille
Portero;Mike Penders;Bélgica;;39;31/07/2005;rc_strassburg_alsace
Portero;Stefan Bajic;Francia;Serbia;50;23/12/2001;rc_strassburg_alsace
Portero;Karl-Johan Johnsson;Suecia;;1;28/01/1990;rc_strassburg_alsace
Defensa central;Ismaël Doukouré;Francia;Costa de Marfil;6;24/07/2003;rc_strassburg_alsace
Defensa central;Lucas Høgsberg;Dinamarca;;24;23/06/2006;rc_strassburg_alsace
Defensa central;Aarón Anselmino;Argentina;;5;29/04/2005;rc_strassburg_alsace
Defensa central;Andrew Omobamidele;Irlanda;Nigeria;2;23/06/2002;rc_strassburg_alsace
Lateral izquierdo;Ben Chilwell;Inglaterra;Nueva Zelanda;3;21/12/1996;rc_strassburg_alsace
Lateral derecho;Guéla Doué;Costa de Marfil;Francia;22;17/10/2002;rc_strassburg_alsace
Pivote;Junior Mwanga;Francia;RD del Congo;18;11/05/2003;rc_strassburg_alsace
Pivote;Maxi Oyedele;Polonia;Inglaterra;8;07/11/2004;rc_strassburg_alsace
Pivote;Rafael Luís;Portugal;;83;18/02/2005;rc_strassburg_alsace
Mediocentro;Valentín Barco;Argentina;;32;23/07/2004;rc_strassburg_alsace
Mediocentro;Samir El Mourabet;Marruecos;Francia;29;06/10/2005;rc_strassburg_alsace
Mediocentro;Mathis Amougou;Francia;Camerún;17;18/01/2006;rc_strassburg_alsace
Interior izquierdo;Diego Moreira;Bélgica;Portugal;7;06/08/2004;rc_strassburg_alsace
Interior izquierdo;Sebastian Nanasi;Suecia;Hungría;11;16/05/2002;rc_strassburg_alsace
Mediocentro ofensivo;Julio Enciso;Paraguay;;19;23/01/2004;rc_strassburg_alsace
Extremo izquierdo;Martial Godo;Costa de Marfil;Inglaterra;20;14/03/2003;rc_strassburg_alsace
Extremo derecho;Abdoul Ouattara;Costa de Marfil;Francia;42;22/10/2005;rc_strassburg_alsace
Extremo derecho;Gessime Yassine;Marruecos;Francia;80;22/11/2005;rc_strassburg_alsace
Extremo derecho;Samuel Amo-Ameyaw;Inglaterra;Ghana;27;18/07/2006;rc_strassburg_alsace
Delantero centro;Joaquín Panichelli;Argentina;;9;07/10/2002;rc_strassburg_alsace
Delantero centro;Emmanuel Emegha;Países Bajos;Nigeria;10;03/02/2003;rc_strassburg_alsace
Delantero centro;David Datro Fofana;Costa de Marfil;;15;22/12/2002;rc_strassburg_alsace
Portero;Dominik Greif;Eslovaquia;;1;06/04/1997;olympique_lyon
Portero;Rémy Descamps;Francia;;40;25/06/1996;olympique_lyon
Portero;Lassine Diarra;Malí;;50;11/11/2002;olympique_lyon
Defensa central;Moussa Niakhaté;Senegal;Francia;19;08/03/1996;olympique_lyon
Defensa central;Ruben Kluivert;Países Bajos;Surinam;21;21/05/2001;olympique_lyon
Defensa central;Clinton Mata;Angola;Bélgica;22;07/11/1992;olympique_lyon
Defensa central;Noham Kamara;Francia;Senegal;85;22/01/2007;olympique_lyon
Lateral izquierdo;Abner;Brasil;;16;27/05/2000;olympique_lyon
Lateral izquierdo;Nicolás Tagliafico;Argentina;Italia;3;31/08/1992;olympique_lyon
Lateral izquierdo;Achraf Laâziri;Marruecos;;36;08/07/2003;olympique_lyon
Lateral derecho;Ainsley Maitland-Niles;Inglaterra;Jamaica;98;29/08/1997;olympique_lyon
Lateral derecho;Hans Hateboer;Países Bajos;;33;09/01/1994;olympique_lyon
Lateral derecho;Steeve Kango;Francia;Argelia;34;09/12/2006;olympique_lyon
Pivote;Tyler Morton;Inglaterra;;23;31/10/2002;olympique_lyon
Pivote;Orel Mangala;Bélgica;RD del Congo;5;18/03/1998;olympique_lyon
Pivote;Tanner Tessmann;Estados Unidos;;6;24/09/2001;olympique_lyon
Pivote;Mathys de Carvalho;Portugal;Francia;39;01/05/2005;olympique_lyon
Mediocentro;Corentin Tolisso;Francia;Togo;8;03/08/1994;olympique_lyon
Mediocentro;Khalis Merah;Francia;Argelia;44;24/02/2007;olympique_lyon
Mediocentro ofensivo;Pavel Sulc;República Checa;;10;29/12/2000;olympique_lyon
Mediocentro ofensivo;Noah Nartey;Dinamarca;Ghana;99;05/10/2005;olympique_lyon
Mediocentro ofensivo;Adam Karabec;República Checa;;7;02/07/2003;olympique_lyon
Extremo izquierdo;Malick Fofana;Bélgica;Guinea;11;31/03/2005;olympique_lyon
Extremo izquierdo;Afonso Moreira;Portugal;;17;19/03/2005;olympique_lyon
Extremo izquierdo;Rémi Himbert;Francia;;45;29/02/2008;olympique_lyon
Extremo derecho;Ernest Nuamah;Ghana;;37;01/11/2003;olympique_lyon
Extremo derecho;Rachid Ghezzal;Argelia;Francia;18;09/05/1992;olympique_lyon
Delantero centro;Endrick;Brasil;;9;21/07/2006;olympique_lyon
Delantero centro;Roman Yaremchuk;Ucrania;;77;27/11/1995;olympique_lyon
Portero;Berke Özer;Turquía;;1;25/05/2000;losc_lille
Portero;Arnaud Bodart;Bélgica;;16;11/03/1998;losc_lille
Portero;Marc-Aurèle Caillard;Francia;;30;12/05/1994;losc_lille
Defensa central;Nathan Ngoy;Bélgica;RD del Congo;3;10/06/2003;losc_lille
Defensa central;Alexsandro;Brasil;;4;09/08/1999;losc_lille
Defensa central;Chancel Mbemba;RD del Congo;;18;08/08/1994;losc_lille
Defensa central;Aïssa Mandi;Argelia;Francia;23;22/10/1991;losc_lille
Defensa central;Rafael Fernandes;Portugal;;-;28/06/2002;losc_lille
