pos;name;pais1;pais2;num;edad;team_name
Extremo derecho;João Batxi;Angola;Portugal;11;01/05/1998;fk_krasnodar
Extremo derecho;Moses David Cobnan;Nigeria;;90;10/09/2002;fk_krasnodar
Extremo derecho;Timur Abdrashitov;Rusia;;41;19/04/2002;fk_krasnodar
Mediapunta;Juan Manuel Boselli;Uruguay;Italia;23;09/11/1999;fk_krasnodar
Delantero centro;Jhon Córdoba;Colombia;;9;11/05/1993;fk_krasnodar
Delantero centro;Kazbek Mukailov;Rusia;;67;01/06/2007;fk_krasnodar
Delantero centro;Aleksandr Koksharov;Rusia;Eslovenia;96;20/12/2004;fk_krasnodar
Delantero centro;Danil Karpov;Rusia;;21;28/06/1999;fk_krasnodar
Portero;Kurban Rasulov;Rusia;;40;05/01/2006;dinamo_moskau
Portero;Andrey Lunev;Rusia;;99;13/11/1991;dinamo_moskau
Portero;Igor Leshchuk;Rusia;;31;20/02/1996;dinamo_moskau
Portero;Andrey Kudravets;Bielorrusia;;47;02/09/2003;dinamo_moskau
Defensa central;David Ricardo;Brasil;;57;21/12/2002;dinamo_moskau
Defensa central;Nicolás Marichal;Uruguay;;2;17/03/2001;dinamo_moskau
Defensa central;Maksim Osipenko;Rusia;;55;16/05/1994;dinamo_moskau
Defensa central;Roberto Fernández;Paraguay;;6;07/06/2000;dinamo_moskau
Defensa central;Milan Majstorovic;Serbia;;5;21/02/2005;dinamo_moskau
Defensa central;Leon Zaydenzal;Rusia;;56;08/07/2004;dinamo_moskau
Lateral izquierdo;Rubens;Brasil;;44;21/06/2001;dinamo_moskau
Lateral izquierdo;Bakhtiyor Zaynutdinov;Kazajistán;;19;02/04/1998;dinamo_moskau
Lateral izquierdo;Dmitriy Skopintsev;Rusia;;7;02/03/1997;dinamo_moskau
Lateral derecho;Juan José Cáceres;Paraguay;Argentina;4;01/06/2000;dinamo_moskau
Pivote;Daniil Fomin;Rusia;;74;02/03/1997;dinamo_moskau
Pivote;Danil Glebov;Rusia;;15;03/11/1999;dinamo_moskau
Pivote;Luis Chávez;México;;24;15/01/1996;dinamo_moskau
Pivote;Aleksandr Kutitskiy;Rusia;;50;01/01/2002;dinamo_moskau
Pivote;Dmitriy Aleksandrov;Rusia;;30;31/07/2006;dinamo_moskau
Mediocentro;Timofey Marinkin;Rusia;;60;02/06/2008;dinamo_moskau
Mediocentro ofensivo;Bitello;Brasil;;10;07/01/2000;dinamo_moskau
Mediocentro ofensivo;Anton Miranchuk;Rusia;;21;17/10/1995;dinamo_moskau
Mediocentro ofensivo;Viktor Okishor;Rusia;Moldavia;88;30/12/2006;dinamo_moskau
Extremo izquierdo;Arthur Gomes;Brasil;;11;03/07/1998;dinamo_moskau
Extremo izquierdo;Nicolas Moumi Ngamaleu;Camerún;;13;09/07/1994;dinamo_moskau
Extremo izquierdo;Ulvi Babaev;Rusia;Azerbaiyán;17;30/03/2004;dinamo_moskau
Extremo derecho;Yaroslav Gladyshev;Rusia;;91;05/05/2003;dinamo_moskau
Delantero centro;Konstantin Tyukavin;Rusia;;70;22/06/2002;dinamo_moskau
Delantero centro;Ivan Sergeev;Rusia;;33;11/05/1995;dinamo_moskau
Delantero centro;El Mehdi Maouhoub;Marruecos;;14;05/06/2003;dinamo_moskau
Portero;Igor Akinfeev;Rusia;;35;08/04/1986;zska_moskau
Portero;Vladislav Torop;Rusia;;49;07/11/2003;zska_moskau
Portero;Egor Besaev;Rusia;;85;03/01/2006;zska_moskau
Defensa central;João Victor;Brasil;;4;17/07/1998;zska_moskau
Defensa central;Matvey Lukin;Rusia;;90;27/04/2004;zska_moskau
Defensa central;Kirill Danilov;Rusia;;79;12/08/2007;zska_moskau
Lateral izquierdo;Moisés;Brasil;;27;11/03/1995;zska_moskau
Lateral izquierdo;Matheus Reis;Brasil;;2;18/02/1995;zska_moskau
Lateral derecho;Milan Gajic;Serbia;;22;28/01/1996;zska_moskau
Lateral derecho;Ramiro Di Luciano;Argentina;Italia;24;21/01/2004;zska_moskau
Pivote;Dmitriy Barinov;Rusia;;6;11/09/1996;zska_moskau
Pivote;Artem Bandikyan;Armenia;Rusia;52;20/09/2005;zska_moskau
Mediocentro;Matvey Kislyak;Rusia;;31;26/07/2005;zska_moskau
Mediocentro;Ivan Oblyakov;Rusia;;10;05/07/1998;zska_moskau
Interior izquierdo;Danil Krugovoy;Rusia;;3;28/05/1998;zska_moskau
Mediocentro ofensivo;Matheus Alves;Brasil;;7;05/03/2005;zska_moskau
Mediocentro ofensivo;Danila Kozlov;Rusia;;18;19/01/2005;zska_moskau
Mediocentro ofensivo;Matija Popović;Serbia;Alemania;20;08/01/2006;zska_moskau
Extremo izquierdo;Daniel Ruiz;Colombia;;19;30/07/2001;zska_moskau
Extremo derecho;Kirill Glebov;Rusia;;17;10/11/2005;zska_moskau
Extremo derecho;Henrique Carmo;Brasil;;37;09/11/2006;zska_moskau
Extremo derecho;Artem Serikov;Rusia;;88;26/05/2007;zska_moskau
Extremo derecho;Egor Ushakov;Rusia;;14;02/12/2002;zska_moskau
Delantero centro;Luciano Gondou;Argentina;Italia;9;22/06/2001;zska_moskau
Delantero centro;Tamerlan Musaev;Rusia;;11;29/07/2001;zska_moskau
Delantero centro;Maksim Voronov;Rusia;;97;18/10/2007;zska_moskau
Portero;Anton Mitryushkin;Rusia;;1;08/02/1996;lokomotiv_moskau
Portero;Ilya Lantratov;Rusia;;22;11/11/1995;lokomotiv_moskau
Portero;Daniil Veselov;Rusia;;16;30/01/2005;lokomotiv_moskau
Defensa central;César Montes;México;;23;24/02/1997;lokomotiv_moskau
Defensa central;Lucas Fasson;Brasil;Italia;3;30/05/2001;lokomotiv_moskau
Defensa central;Gerzino Nyamsi;Camerún;Francia;5;22/01/1997;lokomotiv_moskau
Defensa central;Evgeniy Morozov;Rusia;;85;14/02/2001;lokomotiv_moskau
Defensa central;Egor Pogostnov;Rusia;;59;01/03/2004;lokomotiv_moskau
Lateral izquierdo;Cristian Ramírez;Ecuador;Rusia;2;12/08/1994;lokomotiv_moskau
Lateral derecho;Aleksandr Silyanov;Rusia;;45;17/02/2001;lokomotiv_moskau
Lateral derecho;Maksim Nenakhov;Rusia;;24;13/12/1998;lokomotiv_moskau
Pivote;Artem Karpukas;Rusia;;93;13/06/2002;lokomotiv_moskau
Pivote;Artem Timofeev;Rusia;;94;12/01/1994;lokomotiv_moskau
Pivote;Mikhail Shchetinin;Rusia;;88;08/07/2005;lokomotiv_moskau
Pivote;Daniil Chevardin;Rusia;;74;22/08/2006;lokomotiv_moskau
Mediocentro;Danil Prutsev;Rusia;;25;25/03/2000;lokomotiv_moskau
Mediocentro;Lucas Vera;Argentina;;32;18/04/1997;lokomotiv_moskau
Mediocentro;Danila Godyaev;Rusia;;90;20/04/2004;lokomotiv_moskau
Mediocentro ofensivo;Aleksey Batrakov;Rusia;;83;09/06/2005;lokomotiv_moskau
Extremo izquierdo;Sergey Pinyaev;Rusia;;9;02/11/2004;lokomotiv_moskau
Extremo izquierdo;Aleksandr Rudenko;Rusia;;19;15/03/1999;lokomotiv_moskau
Extremo izquierdo;Nikita Saltykov;Rusia;;14;11/08/2004;lokomotiv_moskau
Extremo izquierdo;Ruslan Myalkovskiy;Bielorrusia;;99;07/05/2006;lokomotiv_moskau
Extremo derecho;Zelimkhan Bakaev;Rusia;;7;01/07/1996;lokomotiv_moskau
Delantero centro;Dmitriy Vorobyov;Rusia;;10;28/11/1997;lokomotiv_moskau
Delantero centro;Nikolay Komlichenko;Rusia;;27;29/06/1995;lokomotiv_moskau
Delantero centro;Vladislav Sarveli;Rusia;;8;01/10/1997;lokomotiv_moskau
Portero;Evgeniy Staver;Rusia;;38;16/02/1998;rubin_kazan
Portero;Aleksey Kenyaykin;Rusia;;1;23/08/1998;rubin_kazan
Portero;Artur Nigmatullin;Rusia;;25;17/05/1991;rubin_kazan
Defensa central;Igor Vujacic;Montenegro;Serbia;5;08/08/1994;rubin_kazan
Defensa central;Egor Teslenko;Rusia;;2;31/01/2001;rubin_kazan
Defensa central;Denil Maldonado;Honduras;;3;26/05/1998;rubin_kazan
Defensa central;Aleksey Gritsaenko;Rusia;;27;25/05/1995;rubin_kazan
Defensa central;Konstantin Nizhegorodov;Rusia;Ucrania;4;21/06/2002;rubin_kazan
Defensa central;Nikita Lobov;Rusia;;98;21/07/2005;rubin_kazan
Defensa central;Uros Drezgic;Serbia;;26;04/10/2002;rubin_kazan
Lateral izquierdo;Ilya Rozhkov;Rusia;;51;29/03/2005;rubin_kazan
Lateral derecho;Anderson Arroyo;Colombia;;12;27/09/1999;rubin_kazan
Lateral derecho;Dmitriy Kabutov;Rusia;;70;26/03/1992;rubin_kazan
Pivote;Veldin Hodza;Kosovo;Croacia;22;15/10/2002;rubin_kazan
Pivote;Ugochukwu Iwu;Armenia;Nigeria;6;28/11/1999;rubin_kazan
Pivote;Ignacio Saavedra;Chile;;7;12/01/1999;rubin_kazan
Pivote;Anton Shvets;Rusia;Ucrania;30;26/04/1993;rubin_kazan
Pivote;Nikita Vasiljev;Rusia;;96;14/12/2006;rubin_kazan
Mediocentro;Daler Kuzyaev;Rusia;;14;15/01/1993;rubin_kazan
Mediocentro;Bogdan Jocic;Serbia;;8;11/01/2001;rubin_kazan
Mediocentro;Aleksandar Jukic;Austria;;77;26/07/2000;rubin_kazan
Mediocentro;Marat Apshatsev;Rusia;;18;27/05/2001;rubin_kazan
Mediocentro;Aleksandr Zotov;Rusia;;21;27/08/1990;rubin_kazan
Interior izquierdo;Ruslan Bezrukov;Rusia;;23;21/03/2002;rubin_kazan
Mediocentro ofensivo;Nazmi Gripshi;Albania;;11;05/07/1997;rubin_kazan
Mediocentro ofensivo;Oleg Ivanov;Rusia;;19;04/08/1986;rubin_kazan
Extremo derecho;Daniil Kuznetsov;Rusia;;44;23/04/2003;rubin_kazan
Extremo derecho;Aleksandr Lomovitskiy;Rusia;;9;27/01/1998;rubin_kazan
Extremo derecho;Enri Mukba;Rusia;Georgia;87;22/09/2005;rubin_kazan
Delantero centro;Mirlind Daku;Albania;Kosovo;10;01/01/1998;rubin_kazan
Delantero centro;Jacques Siwe;Francia;Camerún;43;29/07/2001;rubin_kazan
Delantero centro;Dardan Shabanhaxhaj;Kosovo;Austria;99;23/04/2001;rubin_kazan
Delantero centro;Daniil Motorin;Rusia;;59;16/07/2004;rubin_kazan
Portero;Rustam Yatimov;Tayikistán;Rusia;1;13/07/1998;fk_rostov
Portero;Daniil Odoevskiy;Rusia;;71;22/01/2003;fk_rostov
Portero;Hidajet Hankic;Bosnia y Herzegovina;Austria;13;29/06/1994;fk_rostov
Defensa central;Viktor Melekhin;Rusia;;4;16/12/2003;fk_rostov
Defensa central;Oumar Sako;Níger;Costa de Marfil;3;04/05/1996;fk_rostov
Defensa central;Danila Prokhin;Rusia;;5;24/05/2001;fk_rostov
Defensa central;David Semenchuk;Rusia;;22;22/10/2004;fk_rostov
Defensa central;Dmitriy Chistyakov;Rusia;;78;13/01/1994;fk_rostov
Defensa central;German Ignatov;Rusia;;67;11/08/2005;fk_rostov
Defensa central;Nikita Babakin;Rusia;;59;05/01/2006;fk_rostov
Lateral izquierdo;Eyad El Askalany;Egipto;;34;24/12/2004;fk_rostov
Lateral izquierdo;Aleksandr Tarasov;Rusia;;6;10/01/2006;fk_rostov
Lateral izquierdo;Evgeniy Chernov;Rusia;;28;23/10/1992;fk_rostov
Lateral derecho;Ilya Vakhania;Rusia;;40;14/01/2001;fk_rostov
Lateral derecho;Andrey Langovich;Rusia;;87;28/05/2003;fk_rostov
Mediocentro;Aleksey Mironov;Rusia;;8;01/01/2000;fk_rostov
Mediocentro;Daniil Shantaliy;Rusia;;58;25/05/2004;fk_rostov
Interior izquierdo;Ilya Zhbanov;Rusia;;57;25/07/2004;fk_rostov
Mediocentro ofensivo;Kirill Shchetinin;Rusia;;10;17/01/2002;fk_rostov
Mediocentro ofensivo;Konstantin Kuchaev;Rusia;;18;18/03/1998;fk_rostov
Mediocentro ofensivo;Ivan Komarov;Rusia;;62;15/04/2003;fk_rostov
Mediocentro ofensivo;Khoren Bayramyan;Armenia;Rusia;19;07/01/1992;fk_rostov
Extremo izquierdo;Mohammad Mohebi;Irán;;9;20/12/1998;fk_rostov
Extremo izquierdo;Ibraheem Mahfus Ajasa;Nigeria;;17;26/11/2005;fk_rostov
Extremo derecho;Ronaldo;Brasil;;7;07/12/2000;fk_rostov
Extremo derecho;Stepan Melnikov;Rusia;;-;25/04/2002;fk_rostov
Delantero centro;Egor Golenkov;Rusia;;69;07/07/1999;fk_rostov
Delantero centro;Timur Suleymanov;Rusia;;99;17/03/2000;fk_rostov
Delantero centro;Anton Shamonin;Rusia;;91;28/03/2005;fk_rostov
Portero;Nikita Kokarev;Rusia;;80;08/01/2003;krylya_sovetov_samara
Portero;Sergey Pesjakov;Rusia;;30;16/12/1988;krylya_sovetov_samara
Portero;Evgeniy Frolov;Rusia;;39;05/02/1988;krylya_sovetov_samara
Defensa central;Gonzalo Requena;Argentina;;31;04/03/2003;krylya_sovetov_samara
Defensa central;Nikita Chernov;Rusia;;23;14/01/1996;krylya_sovetov_samara
Defensa central;Dominik Oroz;Croacia;Austria;5;29/10/2000;krylya_sovetov_samara
Defensa central;Roman Evgenjev;Rusia;;24;23/02/1999;krylya_sovetov_samara
Defensa central;Ivan Lepskiy;Rusia;;18;19/01/2005;krylya_sovetov_samara
Defensa central;Sergey Bozhin;Rusia;;47;12/09/1994;krylya_sovetov_samara
Lateral izquierdo;Thomas Galdames;Chile;;3;20/11/1998;krylya_sovetov_samara
Lateral izquierdo;Kirill Pechenin;Bielorrusia;;2;18/03/1997;krylya_sovetov_samara
Lateral derecho;Nikolay Rasskazov;Rusia;;15;04/01/1998;krylya_sovetov_samara
Lateral derecho;Dani Fernández;España;;72;30/04/1997;krylya_sovetov_samara
Pivote;Fernando Costanza;Brasil;Italia;22;29/11/1998;krylya_sovetov_samara
Pivote;Maksim Vityugov;Rusia;;8;01/02/1998;krylya_sovetov_samara
Mediocentro;Sergey Babkin;Rusia;;6;25/09/2002;krylya_sovetov_samara
Mediocentro;Mihajlo Banjac;Serbia;;14;10/11/1999;krylya_sovetov_samara
Mediocentro;Kirill Stolbov;Rusia;;20;08/04/2004;krylya_sovetov_samara
Mediocentro ofensivo;Ilzat Akhmetov;Rusia;Kirguistán;77;31/12/1997;krylya_sovetov_samara
Mediocentro ofensivo;Amar Rahmanovic;Bosnia y Herzegovina;;11;13/05/1994;krylya_sovetov_samara
Extremo izquierdo;Vladimir Khubulov;Rusia;;10;02/03/2001;krylya_sovetov_samara
Extremo derecho;Vadim Rakov;Rusia;;7;09/01/2005;krylya_sovetov_samara
Extremo derecho;Ivan Oleynikov;Rusia;;19;24/08/1998;krylya_sovetov_samara
Extremo derecho;Jimmy Marín;Costa Rica;;26;08/10/1997;krylya_sovetov_samara
Extremo derecho;Aleksey Sutormin;Rusia;;9;10/01/1994;krylya_sovetov_samara
Delantero centro;Chinedu Geoffrey;Nigeria;;99;01/10/1997;krylya_sovetov_samara
Delantero centro;Artem Shumanskiy;Bielorrusia;;70;25/11/2004;krylya_sovetov_samara
Delantero centro;Vladimir Ignatenko;Rusia;;91;12/05/2006;krylya_sovetov_samara
Portero;Maksim Borisko;Rusia;;67;15/02/2000;baltika_kaliningrad
Portero;Egor Lyubakov;Rusia;;44;28/06/1999;baltika_kaliningrad
Portero;Ivan Kukushkin;Rusia;;81;24/07/2002;baltika_kaliningrad
Defensa central;Kevin Andrade;Colombia;;16;16/06/1999;baltika_kaliningrad
Defensa central;Sergey Varatynov;Rusia;;2;27/06/2003;baltika_kaliningrad
Defensa central;Nathan Gassama;Malí;Francia;4;05/01/2001;baltika_kaliningrad
Defensa central;Aleksandr Filin;Rusia;Ucrania;25;25/06/1996;baltika_kaliningrad
Defensa central;Eduardo Anderson;Panamá;;21;31/01/2001;baltika_kaliningrad
Defensa central;Kirill Obonin;Rusia;;46;05/07/2006;baltika_kaliningrad
Lateral izquierdo;Mikhail Ryadno;Rusia;;68;18/09/2005;baltika_kaliningrad
Lateral izquierdo;Eldar Civic;Bosnia y Herzegovina;;77;28/05/1996;baltika_kaliningrad
Lateral derecho;Mingiyan Beveev;Rusia;;23;30/11/1995;baltika_kaliningrad
Pivote;Andrey Mendel;Rusia;;8;17/04/1995;baltika_kaliningrad
Pivote;Ivan Belikov;Rusia;Ucrania;26;25/07/2004;baltika_kaliningrad
Pivote;Aymane Mourid;Marruecos;;5;07/05/2000;baltika_kaliningrad
Mediocentro;Maksim Petrov;Rusia;;73;18/01/2001;baltika_kaliningrad
Mediocentro;Ilya Petrov;Rusia;;10;27/06/1995;baltika_kaliningrad
Mediocentro;Stefan Kovac;Bosnia y Herzegovina;Serbia;14;14/01/1999;baltika_kaliningrad
Mediocentro;Nikolay Titkov;Rusia;;22;18/08/2000;baltika_kaliningrad
Interior derecho;Yuriy Kovalev;Bielorrusia;;11;27/01/1993;baltika_kaliningrad
Mediocentro ofensivo;Vladislav Pospelov;Rusia;;42;25/09/2006;baltika_kaliningrad
Extremo izquierdo;Tenton Yenne;Nigeria;;15;07/07/2000;baltika_kaliningrad
Extremo derecho;Irakliy Manelov;Rusia;;69;19/09/2002;baltika_kaliningrad
Delantero centro;Brayan Gil;El Salvador;Colombia;91;28/06/2001;baltika_kaliningrad
Delantero centro;Derik Lacerda;Brasil;;18;27/09/1999;baltika_kaliningrad
Delantero centro;Chinonso Offor;Nigeria;;90;27/05/2000;baltika_kaliningrad
Delantero centro;Kirill Stepanov;Rusia;;39;04/08/2006;baltika_kaliningrad
Delantero centro;Kirill Nikishin;Rusia;;28;05/02/2004;baltika_kaliningrad
Portero;Vadim Ulyanov;Rusia;;1;07/10/2001;akhmat_grozny
Portero;Giorgiy Shelia;Rusia;;88;11/12/1988;akhmat_grozny
Portero;Yakhya Magomedov;Rusia;;72;06/04/2007;akhmat_grozny
Defensa central;Turpal-Ali Ibishev;Rusia;;4;18/02/2002;akhmat_grozny
Defensa central;Dzhamalutdin Abdulkadyrov;Rusia;;2;23/03/2005;akhmat_grozny
